分類,簡稱,活躍區域,成立時間,全名,社群簡介,官網,Facebook Fan Page,Facebook Group,Google Group,G+,Slack,Telegram Channel,IRC,Twitter,Blog,Youtube,常辦活動的人,備註,重要議題,討論串聯結,備註
技術社群,HackingThursday,台北,2008,Hacking Thursday,"跟電腦有關的所有交流都可以在這裡找到，歡迎居住於台北地區的朋友定期參加，非營利組織 Hacking Thursday 在每週四晚上聚會。
由於聚會十分的隨性，不時產生下列行為：
討論 web, network, programming, system,
交流系統工具 & 使用技巧 & 八卦
我們相信的價值是 OPEN, SHARE, DECENTRALIZED

歡迎參加、捐款、捐設備。

HACK WITH US!",https://www.hackingthursday.org/,n/a,"https://www.facebook.com/groups/hackingday/ , (2701)","https://groups.google.com/forum/#!forum/hackingthursday, (338)","https://plus.google.com/communities/100300282605683816124, (160)",n/a,"@HackingThursday,(34)",#h4,n/a,n/a,"https://www.youtube.com/playlist?list=A5EEDD8C5C327E46, (61)",,1. 每一個社群的人數都估一下。2. 人數盤完之後可以接續盤社群中轉載的新聞。#2013年舉辦的活動，每次活動報名的人數。,,,看完
技術社群,Funth,台北,2013,Functional Thursday,Funcitonal Programming 愛好者小聚,n/a,"https://www.facebook.com/FunctionalThursday, (513)","https://www.facebook.com/groups/functioanl.thursday/, (376)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/channel/UC-rw-O1QGamq6pUsDRkwgpw,,,,,
技術社群,TOSSUG,台北,2003,台北開放原始碼軟體使用者社群,"聚會的設立目的，是要為國內開源技術的愛好者，提供了一個自由交流分享的環境，並能定期會面以成為散布創新能量的源頭。
此社群最初是創始於四個研究生－Ping (pingoo)、Arne、Seventeen、Thhsieh 自行發起的小型聚會所演變而來。

早在 2003 年時，由於原本所參與的社群聚會沒有繼續舉辦，這四個愛好 Linux 的參與者於是自行相約討論，持續透過彼此互助的方式，
鑽研遇到的開發問題以及分享使用心得。後來陸續有人加入討論，於是這個小型聚會逐漸發展茁壯，最後才正式取名為 TOSSUG。",https://tossug.net/,"https://www.facebook.com/tossug/, (497)","https://www.facebook.com/pg/tossug/groups/, (4681)","https://groups.google.com/forum/#!forum/tossug, (158)","https://plus.google.com/communities/115008508939921336314 ,(308)",tossug.slack.com,@tossug (37),#tossug,"https://twitter.com/tossug,(16)",http://blog.tossug.net/,https://www.youtube.com/watch?v=Mjmob-hV0C0&list=PL98D1E8B9876053DE,,,,,
技術社群,Kalug,高雄,1998,大高雄 Linux 協會,"KaLUG 是由一群熱愛 Open Source 的 朋友 所組成的團體.
歡迎參加我們的 聚會 ，Topic 題目不限，好玩就好。
歡迎加入我們的 KaLUG 星球！
請留下你的網址在disqus中.

English version
Kaohsiung Linux User Group (Kalug) is the group formed by friends who loves open source software.
Welcome to join our bee, No limitation for topics, Just for fun.
Welcome to join our planet! Please leave your blog url in the below disqus!

與我們聯絡

Telegram 為目前 KaLUG 成員平常主要的聯絡方式。
Invite Link: https://kalug.linux.org.tw/telegram

Contact US
We communicate with each others using Telegram application.
Invite Link: https://kalug.linux.org.tw/telegram",https://kalug.linux.org.tw/,"https://www.facebook.com/kalug.tw/ ,(330)","https://www.facebook.com/groups/kalug.tw, (326)","https://groups.google.com/forum/#!forum/kalug, (18)","https://plus.google.com/communities/113465528091946960161 ,(96)",kalug.slack.com,@KaLUG (89),#kalug,n/a,,n/a,,,,,
技術社群,PyHug,新竹,2011,Python Hsinchu User Group,"Welcome to PyHUG! We are a group of Python programmers near the Hsinchu, Taiwan. 
We regularly hold seminar and coding meetings. You are very welcomed to join us! 
You can also find us online at Freenode/#python.tw IRC room and https://groups.google.com/d/forum/pythontw Google group.

歡迎來到 PyHUG。我們是一群活動於新竹周邊的 Python 程式員。我們會定期舉辦技術討論與程式設計的聚會。
非常歡迎你加入我們！你也可以在 Freenode/#python.tw IRC room 和 https://groups.google.com/d/forum/pythontw Google group 裡找到我們。

Map: https://goo.gl/f7IpDq",http://www.meetup.com/pythonhug/,https://www.facebook.com/groups/pythontw/,https://www.facebook.com/groups/pythontw/,https://groups.google.com/forum/#!forum/pythontw,n/a,n/a,@pyhug (35),Freenode/#python.tw,https://twitter.com/pyhuge (48),n/a,n/a,,,,,
技術社群,Study Area,台南/台北,1999,酷!學園,"酷學園由 lman，vbird 及 netman 於 1999 年創立。主要是線上 IT 培訓中心讓新手有一個地方能發問解惑以及讓專家們能分享知識，
範圍涵蓋系統網 路，程式設計，網站開發，資料庫及 Linux 作業系統知識等，酷！學園一直大力推廣開放原始碼軟體，
定期每個月在台北及台南舉辦活動，並藉由熱情的推廣，聚攏來自四面八方的學員，彼此學習，分享經驗及知識。",http://phorum.study-area.org/,"https://www.facebook.com/sataiwan (1,333)",n/a,n/a,https://plus.google.com/112729012807279156312 (161),studyarea.slack.com, n/a,irc.freenode.net /＃study-area,n/a,http://sataipei.pixnet.net/blog/category/0,n/a,,,,,
技術社群,Taipei.py,台北,2012,台北Python 使用者群組,"Taipei.py 又稱台北 Python 使用者群組，每個月會舉辦 Seminar（討論會）讓大台北的 Python 愛好者或對
 Python 有興趣的人，能藉由難得的機會一起分享、研究、把玩、認識它五花八門的應用與技術，以及 Python 之美。",http://taipei.python.org.tw/home,n/a,https://www.facebook.com/groups/pythontw/,n/a,https://plus.google.com/105616755507099750600 (51),n/a,n/a,n/a,https://twitter.com/taipeipy (242),https://blog.m157q.tw/tag/taipeipy/ ,https://www.youtube.com/channel/UCKQj0xe3FBIw7ag95luACKQ (746),,,,,
技術社群,Tainan.py,台南,2013,"
Python 台南使用者群組, Python Tainan User Group","讓各位期待已久的 Python 台南使用者群組終於成立了！此聚會簡稱為 Tainan.py ，將以一個月一次的頻率舉辦。
歡迎南部地區的 Python 愛好者或對 Python 此一優雅之程式語言有興趣的朋友，一同來共襄盛舉，分享你的所見所得。
期待各位在討論、把玩各項 Python 技術的同時，也能認識許多新朋友，共同領略 Python 之美。",http://www.meetup.com/Tainan-py-Python-Tainan-User-Group/,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.youtube.com/user/TainanPy (126),,,,,
技術社群,Kaohsiung.py,高雄,2014,Kaohsiung Python User Group,"This is a group for anyone interested in Python programming language. However, topics discussed in this group are not limited to Python.
I started this group to facilitate the technical discussions among pythonistas, entrepreneurs, etc. Looking forward to exchanging 
state-of-the-art trends and technologies with everyone.",https://www.meetup.com/en-AU/Kaohsiung-Python-Meetup/,n/a,https://www.facebook.com/groups/kaohsiungpy/members/  (1662),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
技術社群,Hualien.py,花蓮,2014,Hualien Python User Group; 花蓮.Py,"Hualien.py is the ""Hualien Python User Group"".

Meet all kinds of other local Python users.

All skill levels are welcome, if you are interested in Python, Python related topics, or Open Source Software in general, we are interested in you!

We have at least one regular meetup every month, except for summer vaction(Jul-Sep) and winter vacation(Jan).
We encourage you to share your ideas, thoughts, experiences with others.",http://www.meetup.com/Hualien-Py/  (186),n/a,https://www.facebook.com/groups/hualienpy/ (226),https://groups.google.com/forum/#!topic/free_hlc/nXFjyugZ_7A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,魏澤人 (on facebook),,,,
