會議基本資訊,,,,,,,,,,聯絡管道,,,,,,,,,,活動網站,,,備註,
簡稱,地區,全名,成立時間,最後舉辦年份,規模 (人),舉辦時間,天數,簡介,官網,Facebook,Twitter,Telegram,IRC,Mailing List/Email,G+,Blog,Youtube,Weibo,Medium,Meetup,KKtix,Accupass,,
研討會,,,,,,,,,,,,,,,,,,,,,,,,
OSDC,北,Open Source Developers' Conference in Taiwan,2006,2014 (停辦),500+,每年4月中,2,主要在提供所有開放源碼開發者的經驗交流,http://osdc.tw/,https://www.facebook.com/OSDC.TW/,https://twitter.com/osdc_tw,n/a,n/a,n/a,n/a,n/a,n/a,,,,https://osdc.kktix.cc/,,,
OSW,北,Open Source Workshop,1999,2000,100+,每年5~7月,2,"以聚集國內相關領域的人才, 交流相關經驗, 探討相關影響為目標。 ICOS 跟 COSCUP 前身。",https://web.archive.org/web/20011204201854/http://twopensource.org/osw99/index.html; https://web.archive.org/web/20010815181912/http://twopensource.org:80/osw00/index.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,n/a,n/a,panel video record: http://vcenter.iis.sinica.edu.tw/watch.php?val=aWQ9TWw4QU5qUT0=,
ICOS,北,International Conference on Open Source,2001,2011,100+,每年7~12月,3,"自由軟體及開放源碼，將在產業、政府、研究單位的相關議題與建設工作中，扮演重要的角色。開放源碼國際研討會定位為規劃自由軟體
運動進程、聚集開放源碼開發成果，提供相關領域人士一個在網路之外的實際交流機會。",https://zh.wikipedia.org/wiki/%E5%9C%8B%E9%9A%9B%E9%96%8B%E6%94%BE%E6%BA%90%E7%A2%BC%E7%A0%94%E8%A8%8E%E6%9C%83,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,n/a,n/a,video 2002: https://web.archive.org/web/20041010001838/http://twopensource.org:80/~marr/icos-video/;,
COSCUP,北,開源人年會,2006,2018,2000,每年8月中,2,每年舉辦開源人年會，讓愛好開放原始碼軟體的大家齊聚一堂。,https://coscup.org,https://www.facebook.com/coscup/,https://twitter.com/coscup,https://t.me/coscup,irc://irc.freenode.net/coscup,https://kktix.com/organizations/coscup2018/contact/new?back=MVMzMnlJRW04YmM3VGxreko4Wnpja3N2dFc0T0cxTEhmNFZaRFlCWHVZNkRNZXVIeDk0N284WEY4cmZXdzQvTWtPT0hjSHovck5QVHZKUjVmSSt5Y3c9PS0teU1XMzFUK2toL0tndlpjd0ZLeUVkQT09--beb876d38a02f7d5f6e3701981beb9b02b80efd1&event_slug=coscup2018regist,,https://blog.coscup.org/,https://www.youtube.com/user/thecoscup,,,,https://coscup2018.kktix.cc/,,,
MOPCON,南,濁水溪以南最強大行動科技研討會,2012,2018,1000+,每年10~11月,2,由南部社群主辦，關注行動平台應用議題之非營利研討會。以推動科技產業交流、人才媒合、創新合作為主要使命，並以平衡南北科技產業差距為終極目標。,https://mopcon.org,https://www.facebook.com/mopcon/?fref=ts,https://twitter.com/mopcon,n/a,n/a for 2018,contact@mopcon.org,https://plus.google.com/u/0/+MopconOrg,http://mopcon.blogspot.com/,,,,,https://mopcon.kktix.cc/,,,
SITCON,北,學生計算機年會,2012,2018,1000+,每年3月中,1,是一學生自發組成的研討會，秉持著以學生為主軸的核心價值，凝聚與傳遞學生的力量。藉由提供一個經驗交流與資訊技術實務分享的平台，使有成就者能夠傳承己身經驗，嶄露頭角者在激盪中獲得靈感與啟發，同時讓初入茅廬者得以對資訊科學有更深入的了解；進而達到「學以致用、教學相長」的目標。,https://sitcon.org,https://www.facebook.com/SITCONtw/,https://twitter.com/sitcontw,https://t.me/SITCONgeneral,https://webchat.freenode.net/?channels=sitcon,contact@sitcon.org,https://plus.google.com/107423597192128645651,,https://www.youtube.com/user/SITCONArchive,,,,https://sitcon.kktix.cc/,,,
HITCON,北,台灣駭客年會,2005,2018,1000+,每年7~8月,2,Hacks In Taiwan Conference (HITCON) 台灣駭客年會 / 台灣最大的駭客與資安技術研討會,https://hitcon.org/,https://www.facebook.com/HITCON/,https://twitter.com/HacksInTaiwan,n/a,http://irc.hitcon.org,agenda2018@hitcon.org;service@hitcon.org,https://plus.google.com/117479513177945056567,https://blog.hitcon.org/,https://www.youtube.com/channel/UCjW91GWKraCfWuKLGonq1vw,https://www.weibo.com/HITCON?is_all=1,,,https://hitcon.kktix.cc/,,,
PyCon,北,PyCon Taiwan,2012,2018,700+,每年6月,2,"PyCon Taiwan 是台灣 Python 社群的年度盛會, 主要議題在電腦科學(scientific compuation) 和介紹python語言為主的工具",https://tw.pycon.org/,https://www.facebook.com/pycontw,https://twitter.com/pycontw,http://t.me/pycontw2018,https://irc-source.com/channel/freenode/%23pycon,organizers@pycon.tw,https://plus.google.com/101932655972746759016,https://pycontw.blogspot.com/,https://www.youtube.com/channel/UCHLnNgRnfGYDzPCCH8qGbQw,,,,https://pycontw.kktix.cc/,,"PyCTW, the predecessor of PyCon Taiwan, founded in 2008;第一屆pycon則在2012年舉辦",
JSDC,北,JavaScript 開發者年會,2012,2018,300~400,近年皆於10~11月舉辦,2,"台灣最⼤的 JavaScript 年度性技術研討會,旨在提供台灣中⾼階 JavaScript 技術人才與世界最新 JavaScript 相關技術討論與分享。並希望各界廠商合作與中高階技術⼈才的媒合,創造雙贏的正向循環。",https://jsdc.tw,https://www.facebook.com/JSDC.TW/,https://twitter.com/jsdc_tw?lang=en,n/a,irc://freenode/#JSDC.tw,hq@jsdc.tw,https://plus.google.com/100390805646009961994,http://blog.jsdc.tw/,https://www.youtube.com/channel/UCWQmoLB4Fz0MoWwiCBq8WQg,,,,https://jsdc-tw.kktix.cc/,,,
